indicator,gender,ageMonths,L,M,S,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
WEIGHT_FOR_AGE,FEMALE,45,-0.3322,15.524,0.1363,10.6,12,13.6,15.5,17.8,20.7,24.1
WEIGHT_FOR_AGE,FEMALE,46,-0.3335,15.7064,0.13716,10.7,12.1,13.7,15.7,18.1,20.9,24.5
WEIGHT_FOR_AGE,FEMALE,47,-0.3348,15.8882,0.138,10.8,12.2,13.9,15.9,18.3,21.2,24.8
WEIGHT_FOR_AGE,FEMALE,48,-0.3361,16.0697,0.13884,10.9,12.3,14,16.1,18.5,21.5,25.2
WEIGHT_FOR_AGE,FEMALE,49,-0.3374,16.2511,0.13968,11,12.4,14.2,16.3,18.8,21.8,25.5
WEIGHT_FOR_AGE,FEMALE,50,-0.3387,16.4322,0.14051,11.1,12.6,14.3,16.4,19,22.1,25.9
WEIGHT_FOR_AGE,FEMALE,51,-0.34,16.6133,0.14132,11.2,12.7,14.5,16.6,19.2,22.4,26.3
WEIGHT_FOR_AGE,FEMALE,52,-0.3414,16.7942,0.14213,11.3,12.8,14.6,16.8,19.4,22.6,26.6
WEIGHT_FOR_AGE,FEMALE,53,-0.3427,16.9748,0.14293,11.4,12.9,14.8,17,19.7,22.9,27
WEIGHT_FOR_AGE,FEMALE,54,-0.344,17.1551,0.14371,11.5,13,14.9,17.2,19.9,23.2,27.4
WEIGHT_FOR_AGE,FEMALE,55,-0.3453,17.3347,0.14448,11.6,13.2,15.1,17.3,20.1,23.5,27.7
WEIGHT_FOR_AGE,FEMALE,56,-0.3466,17.5136,0.14525,11.7,13.3,15.2,17.5,20.3,23.8,28.1
WEIGHT_FOR_AGE,FEMALE,57,-0.3479,17.6916,0.146,11.8,13.4,15.3,17.7,20.6,24.1,28.5
WEIGHT_FOR_AGE,FEMALE,58,-0.3492,17.8686,0.14675,11.9,13.5,15.5,17.9,20.8,24.4,28.8
WEIGHT_FOR_AGE,FEMALE,59,-0.3505,18.0445,0.14748,12,13.6,15.6,18,21,24.6,29.2
WEIGHT_FOR_AGE,FEMALE,60,-0.3518,18.2193,0.14821,12.1,13.7,15.8,18.2,21.2,24.9,29.5
WEIGHT_FOR_AGE,MALE,0,0.3487,3.3464,0.14602,2.1,2.5,2.9,3.3,3.9,4.4,5
WEIGHT_FOR_AGE,MALE,1,0.2297,4.4709,0.13395,2.9,3.4,3.9,4.5,5.1,5.8,6.6
WEIGHT_FOR_AGE,MALE,2,0.197,5.5675,0.12385,3.8,4.3,4.9,5.6,6.3,7.1,8
WEIGHT_FOR_AGE,MALE,3,0.1738,6.3762,0.11727,4.4,5,5.7,6.4,7.2,8,9
WEIGHT_FOR_AGE,MALE,4,0.1553,7.0023,0.11316,4.9,5.6,6.2,7,7.8,8.7,9.7
WEIGHT_FOR_AGE,MALE,5,0.1395,7.5105,0.1108,5.3,6,6.7,7.5,8.4,9.3,10.4
WEIGHT_FOR_AGE,MALE,6,0.1257,7.934,0.10958,5.7,6.4,7.1,7.9,8.8,9.8,10.9
WEIGHT_FOR_AGE,MALE,7,0.1134,8.297,0.10902,5.9,6.7,7.4,8.3,9.2,10.3,11.4
WEIGHT_FOR_AGE,MALE,8,0.1021,8.6151,0.10882,6.2,6.9,7.7,8.6,9.6,10.7,11.9
WEIGHT_FOR_AGE,MALE,9,0.0917,8.9014,0.10881,6.4,7.1,8,8.9,9.9,11,12.3
